주문_ID,고객_ID_주문,주문일자,약속_배송시간,실제_배송시간,배송상태_주문,주문_총액,결제수단,배송기사_ID_주문,매장_ID,상품_ID,수량,단가,상품명,카테고리,브랜드,가격,정가_MRP,마진율_퍼센트,유통기한_일수,최소_재고수준,최대_재고수준,배송기사_ID_배송,약속_시간,실제_시간,배송_소요시간_분,거리_km,배송상태_배송,지연_사유,피드백_ID,고객_ID_피드백,평점,피드백_내용,피드백_카테고리,감성,피드백_일자,고객명,이메일,전화번호,주소,지역,우편번호,가입일자,고객_세그먼트,총_주문수,평균_주문금액
1961864118,30065862,2024-07-17,2024-07-17 08:52:01,2024-07-17 08:47:01,On Time,3197.07,Cash,63230,4771,642612,3,517.03,Pet Treats,Pet Care,Pillay-Ahuja,517.03,795.43,35.0,365,16,57,63230,2024-07-17 08:52:01,2024-07-17 08:47:01,-5.0,0.96,On Time,,2234710,30065862,4,"It was okay, nothing special.",Delivery,Neutral,2024-07-17,Urishilla Hegde,ydeo@example.org,910400446367,"H.No. 330
Rana Path, Sagar 712033",Allahabad,911359,2024-09-02,Regular,13,749.95
1549769649,9573071,2024-05-28,2024-05-28 13:25:29,2024-05-28 13:27:29,On Time,976.55,Cash,14983,7534,378676,1,881.42,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,881.42,1259.17,30.0,180,19,65,14983,2024-05-28 13:25:29,2024-05-28 13:27:29,2.0,0.98,On Time,Traffic,5450964,9573071,3,The order was incorrect.,App Experience,Negative,2024-05-28,Ranveer Mahal,phegde@example.org,912292591574,"49, Sarkar Zila, Navi Mumbai-077374",Thrissur,856100,2023-11-07,New,5,958.06
9185164487,45477575,2024-09-23,2024-09-23 13:25:12,2024-09-23 13:29:12,On Time,839.05,UPI,39859,9886,741341,2,923.84,Eggs,Dairy & Breakfast,Prasad LLC,923.84,1154.8,20.0,7,13,62,39859,2024-09-23 13:25:12,2024-09-23 13:29:12,4.0,3.83,On Time,Traffic,482108,45477575,3,"It was okay, nothing special.",App Experience,Neutral,2024-09-23,Aarna Bawa,kondajagdish@example.com,912719661653,"14/351, Agarwal Path
Medininagar 636193",Vellore,117423,2024-01-05,Inactive,4,327.93
9644738826,88067569,2023-11-24,2023-11-24 16:34:56,2023-11-24 16:33:56,On Time,440.23,Card,61497,7917,561860,1,874.78,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,21,90,61497,2023-11-24 16:34:56,2023-11-24 16:33:56,-1.0,2.76,On Time,,4823104,88067569,4,The product met my expectations.,App Experience,Neutral,2023-11-24,Aayush Sengupta,lekha10@example.com,913367647372,"20/47
Ratta Chowk, Sonipat-022522",Gaya,288459,2023-12-25,Premium,5,273.38
5427684290,83298567,2023-11-20,2023-11-20 05:17:39,2023-11-20 05:18:39,On Time,2526.68,Cash,84315,2741,602241,2,976.55,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,12,75,84315,2023-11-20 05:17:39,2023-11-20 05:18:39,1.0,2.63,On Time,Traffic,3537464,83298567,3,Product was damaged during delivery.,Delivery,Negative,2023-11-20,Vansha Kuruvilla,xalak62@example.com,912910638833,"H.No. 68, Gaba Road
Khandwa 040880",Asansol,149383,2024-10-02,Premium,14,763.1
3265154092,43367112,2023-03-18,2023-03-18 16:49:51,2023-03-18 16:48:51,On Time,3161.43,UPI,554,3442,681063,1,321.28,Mango Drink,Cold Drinks & Juices,Dass and Sons,321.28,458.97,30.0,180,20,91,554,2023-03-18 16:49:51,2023-03-18 16:48:51,-1.0,1.94,On Time,,4089724,43367112,2,Product was damaged during delivery.,Customer Service,Negative,2023-03-18,Chasmum Ramesh,jom@example.com,913254450285,"H.No. 620
Krishnamurthy Nagar, Pudukkottai-019414",Gopalpur,276624,2023-12-14,New,19,1861.66
4898355547,13284996,2023-04-16,2023-04-16 19:01:37,2023-04-16 19:02:37,On Time,956.4,Card,14630,1318,56589,3,517.77,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",517.77,647.21,20.0,365,16,85,14630,2023-04-16 19:01:37,2023-04-16 19:02:37,1.0,2.2,On Time,Traffic,230696,13284996,4,Highly recommended!,Product Quality,Positive,2023-04-16,Irya Dayal,shamanbir@example.org,914376337070,"H.No. 614, Sehgal Path
Akola-450080",Phagwara,363237,2024-04-11,Regular,9,449.79
6568151549,88866835,2024-03-31,2024-03-31 06:37:48,2024-03-31 06:39:48,On Time,905.47,Cash,67714,115,500739,2,359.98,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81,67714,2024-03-31 06:37:48,2024-03-31 06:39:48,2.0,1.3,On Time,Traffic,2259308,88866835,2,I had a bad experience.,App Experience,Negative,2024-03-31,Osha Dora,ebatta@example.net,913251161123,"H.No. 022, Bava Street, Srikakulam-979419",South Dumdum,65460,2023-11-01,Premium,6,506.63
6006693867,24496983,2023-07-13,2023-07-14 00:02:36,2023-07-14 00:05:36,On Time,1371.17,Card,91362,9021,490939,1,80.25,Lotion,Personal Care,"Roy, Barad and De",80.25,123.46,35.0,365,12,67,91362,2023-07-14 00:02:36,2023-07-14 00:05:36,3.0,3.38,On Time,Traffic,7380970,24496983,3,Product was damaged during delivery.,Delivery,Negative,2023-07-14,Vasana Sen,hseshadri@example.org,913695033990,"H.No. 687, Seshadri Street
Ajmer-267864",Kamarhati,185526,2023-12-04,Regular,17,1262.44
374186990,52215833,2023-08-09,2023-08-09 01:37:30,2023-08-09 01:44:30,Slightly Delayed,1601.19,Wallet,77203,7955,760828,2,563.45,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",563.45,866.85,35.0,365,23,93,77203,2023-08-09 01:37:30,2023-08-09 01:44:30,7.0,1.47,Slightly Delayed,Traffic,2257242,52215833,3,The product met my expectations.,App Experience,Neutral,2023-08-09,Lipika Parmer,gavinprabhakar@example.net,910213519763,"00/455, Chakraborty Road, Jammu 801712",Sirsa,414814,2024-09-27,Regular,5,305.65
4455336265,43431724,2023-08-30,2023-08-30 19:47:06,2023-08-30 19:45:06,On Time,2362.33,UPI,64046,3784,753354,3,423.56,Shampoo,Personal Care,Sant-Mahajan,423.56,651.63,35.0,365,20,52,64046,2023-08-30 19:47:06,2023-08-30 19:45:06,-2.0,0.76,On Time,,1837573,43431724,2,Taste was not as expected.,Delivery,Negative,2023-08-30,Jack Kalita,calebdewan@example.com,912843679556,"41/500, Sachdev Marg, Jhansi-452338",Rohtak,217110,2023-11-26,New,2,813.0
3539286337,77559557,2023-04-25,2023-04-25 20:44:24,2023-04-25 20:39:24,On Time,1463.8,Wallet,94899,2463,684939,1,727.95,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",727.95,1119.92,35.0,365,22,50,94899,2023-04-25 20:44:24,2023-04-25 20:39:24,-5.0,3.68,On Time,,258023,77559557,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-04-25,Akshay Varty,balendra63@example.com,917909370826,"44
Dube Path
Jammu-898608",Madurai,639717,2023-08-28,New,9,601.15
9171116867,87107263,2023-10-22,2023-10-22 11:25:33,2023-10-22 11:37:33,Slightly Delayed,822.63,Card,73907,6899,500739,3,359.98,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81,73907,2023-10-22 11:25:33,2023-10-22 11:37:33,12.0,2.23,Slightly Delayed,Traffic,3081099,87107263,4,The product met my expectations.,Customer Service,Neutral,2023-10-22,Lakshmi Arora,parmarvansha@example.org,918888108591,"38/541
Hari Street, Faridabad 486542",Vijayawada,784029,2024-10-02,Inactive,9,1659.56
5504941865,76512976,2024-01-28,2024-01-28 02:55:11,2024-01-28 03:06:11,Slightly Delayed,2287.68,Wallet,56077,9809,540618,1,317.05,Popcorn,Snacks & Munchies,Golla-Luthra,317.05,487.77,35.0,90,28,87,56077,2024-01-28 02:55:11,2024-01-28 03:06:11,11.0,4.45,Slightly Delayed,Traffic,3158837,76512976,5,Highly recommended!,App Experience,Positive,2024-01-28,Yashica Pathak,baradlajita@example.com,910178223956,"26/72, Sama Chowk
Aligarh 358311",Belgaum,874947,2024-07-27,New,5,279.89
5868326481,37556526,2024-03-15,2024-03-15 21:24:07,2024-03-15 21:21:07,On Time,1962.35,Wallet,94140,3106,53833,3,134.69,Rice,Grocery & Staples,Tella-Master,134.69,158.46,15.0,365,26,89,94140,2024-03-15 21:24:07,2024-03-15 21:21:07,-3.0,2.8,On Time,,9465932,37556526,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2024-03-15,Anjali Varkey,triveni48@example.org,916293872154,"H.No. 66, D’Alia Zila
Muzaffarpur-364745",Farrukhabad,243420,2024-06-14,Inactive,18,1200.18
2137046916,12059049,2024-02-03,2024-02-03 09:03:32,2024-02-03 09:01:32,On Time,3373.96,UPI,12377,1007,455755,2,44.09,Detergent,Household Care,Mangal-Sathe,44.09,58.79,25.0,365,23,53,12377,2024-02-03 09:03:32,2024-02-03 09:01:32,-2.0,1.78,On Time,,8111644,12059049,4,"Overall good experience, thank you!",Customer Service,Positive,2024-02-03,Jagdish Mander,wpall@example.net,914436092312,"47/938, Chandra
Ichalkaranji-922446",Nizamabad,696590,2024-09-23,Regular,17,235.4
8195544338,26199489,2023-04-26,2023-04-26 04:20:57,2023-04-26 04:28:57,Slightly Delayed,845.71,Wallet,102,3809,131937,1,287.81,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81,479.68,40.0,180,18,68,102,2023-04-26 04:20:57,2023-04-26 04:28:57,8.0,1.16,Slightly Delayed,Traffic,121425,26199489,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-04-26,Aarna Gola,hemang36@example.org,915848826456,"28/92
Banerjee Zila
Singrauli-249881",Serampore,555849,2024-07-15,Inactive,11,479.65
2889700050,84848018,2024-04-30,2024-04-30 16:33:26,2024-04-30 16:36:26,On Time,2706.54,Wallet,45032,78,798639,1,211.25,Eggs,Dairy & Breakfast,Subramaniam LLC,211.25,264.06,20.0,7,12,78,45032,2024-04-30 16:33:26,2024-04-30 16:36:26,3.0,3.07,On Time,Traffic,8267419,84848018,4,"Average experience, could improve.",Delivery,Neutral,2024-04-30,Jackson Roy,janijanaki@example.org,919467722828,"069, Prakash Marg, Mira-Bhayandar 031507",Alappuzha,275189,2023-06-26,Regular,19,557.81
65827885,47577193,2023-07-27,2023-07-27 00:25:05,2023-07-27 00:20:05,On Time,1132.98,Cash,1108,3817,324809,3,608.0,Bread,Dairy & Breakfast,Sidhu PLC,608.0,760.0,20.0,7,26,76,1108,2023-07-27 00:25:05,2023-07-27 00:20:05,-5.0,1.65,On Time,,7168244,47577193,1,Product was damaged during delivery.,Delivery,Negative,2023-07-27,Chaaya Wable,zvenkatesh@example.net,916830988927,"41/37, Raja Marg
Tumkur-353412",Dehri,410068,2024-02-05,Premium,16,1578.87
4656471694,60728956,2023-12-09,2023-12-09 08:27:08,2023-12-09 08:35:08,Slightly Delayed,1525.5,Cash,62782,5739,679284,1,877.89,Cough Syrup,Pharmacy,Pant LLC,877.89,1097.36,20.0,365,28,95,62782,2023-12-09 08:27:08,2023-12-09 08:35:08,8.0,3.7,Slightly Delayed,Traffic,2482108,60728956,3,Not worth the price I paid.,Customer Service,Negative,2023-12-09,Andrew Nigam,nitara58@example.net,912558012921,"29/168, Srinivas
Bijapur 827761",Khandwa,785737,2023-06-26,Premium,15,1764.25
6625178717,62068277,2023-07-01,2023-07-01 04:40:22,2023-07-01 04:53:22,Slightly Delayed,5718.09,Card,74906,2130,952168,3,236.95,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das",236.95,364.54,35.0,90,28,79,74906,2023-07-01 04:40:22,2023-07-01 04:53:22,13.0,4.22,Slightly Delayed,Traffic,3769939,62068277,2,Items were missing from my order.,Product Quality,Negative,2023-07-01,Zarna Shetty,kumerzansi@example.org,913151597352,"H.No. 12, Kale Chowk
New Delhi 521199",Hosur,397881,2024-03-03,Regular,6,1515.17
7169557514,84824280,2023-03-21,2023-03-21 05:38:13,2023-03-21 05:50:13,Slightly Delayed,2970.9,Card,79516,9535,706112,2,478.79,Vitamins,Pharmacy,"Magar, Gara and Garg",478.79,598.49,20.0,365,12,77,79516,2023-03-21 05:38:13,2023-03-21 05:50:13,12.0,3.28,Slightly Delayed,Traffic,9592296,84824280,2,Customer service was not helpful.,Product Quality,Negative,2023-03-21,Kamya Narayan,bhavyabakshi@example.com,910116395700,"92/87, Golla Road, Bihar Sharif 337412",Ongole,989821,2024-05-09,Inactive,17,1752.91
